	State	Action
0	((0, 0), 'sink')	0
1	((0, 0), (('3', '2'), ('1', '0')))	aT
2	((0, 0), (('2', '2'), ('1', '0')))	1
3	((0, 0), (('3', '2'), ('1', '1')))	aT
4	((0, 0), (('0', '1'), ('0', '0')))	1
5	((0, 0), (('0', '1'), ('0', '1')))	1
6	((0, 0), (('2', '2'), ('1', '1')))	1
7	((0, 0), (('0', '2'), ('1', '0')))	aT
8	((0, 0), (('2', '1'), ('1', '0')))	1
9	((0, 0), (('0', '0'), ('0', '0')))	1
10	((0, 0), (('0', '2'), ('1', '1')))	aT
11	((0, 0), (('1', '0'), ('1', '0')))	1
12	((0, 0), (('2', '1'), ('1', '1')))	1
13	((0, 0), (('2', '0'), ('0', '0')))	1
14	((0, 0), (('0', '0'), ('0', '1')))	1
15	((0, 0), (('1', '1'), ('1', '0')))	1
16	((0, 0), (('1', '0'), ('1', '1')))	1
17	((0, 0), (('2', '0'), ('0', '1')))	1
18	((0, 0), (('1', '2'), ('0', '0')))	1
19	((0, 0), (('1', '1'), ('1', '1')))	1
20	((0, 0), (('3', '0'), ('0', '0')))	1
21	((0, 0), (('3', '1'), ('0', '0')))	1
22	((0, 0), (('3', '0'), ('0', '1')))	1
23	((0, 0), (('1', '2'), ('0', '1')))	1
24	((0, 0), (('3', '1'), ('0', '1')))	1
25	((0, 0), (('3', '2'), ('0', '0')))	1
26	((0, 0), (('2', '2'), ('0', '0')))	1
27	((0, 0), (('0', '1'), ('1', '0')))	1
28	((0, 0), (('3', '2'), ('0', '1')))	1
29	((0, 0), (('0', '1'), ('1', '1')))	1
30	((0, 0), (('2', '2'), ('0', '1')))	1
31	((0, 0), (('0', '0'), ('1', '0')))	1
32	((0, 0), (('2', '1'), ('0', '0')))	1
33	((0, 0), (('0', '2'), ('0', '0')))	1
34	((0, 0), (('0', '2'), ('0', '1')))	1
35	((0, 0), (('2', '0'), ('1', '0')))	1
36	((0, 0), (('2', '1'), ('0', '1')))	1
37	((0, 0), (('0', '0'), ('1', '1')))	1
38	((0, 0), (('1', '0'), ('0', '0')))	1
39	((0, 0), (('1', '1'), ('0', '0')))	1
40	((0, 0), (('2', '0'), ('1', '1')))	1
41	((0, 0), (('1', '0'), ('0', '1')))	1
42	((0, 0), (('1', '2'), ('1', '0')))	1
43	((0, 0), (('3', '0'), ('1', '0')))	aT
44	((0, 0), (('1', '1'), ('0', '1')))	1
45	((0, 0), (('3', '1'), ('1', '0')))	aT
46	((0, 0), (('3', '0'), ('1', '1')))	aT
47	((0, 0), (('1', '2'), ('1', '1')))	1
48	((0, 0), (('3', '1'), ('1', '1')))	aT
49	((0, 1), 'sink')	0
50	((0, 1), (('3', '2'), ('1', '0')))	aT
51	((0, 1), (('2', '2'), ('1', '0')))	1
52	((0, 1), (('3', '2'), ('1', '1')))	aT
53	((0, 1), (('0', '1'), ('0', '0')))	2
54	((0, 1), (('0', '1'), ('0', '1')))	2
55	((0, 1), (('2', '2'), ('1', '1')))	1
56	((0, 1), (('0', '2'), ('1', '0')))	aT
57	((0, 1), (('2', '1'), ('1', '0')))	2
58	((0, 1), (('0', '0'), ('0', '0')))	1
59	((0, 1), (('0', '2'), ('1', '1')))	aT
60	((0, 1), (('1', '0'), ('1', '0')))	2
61	((0, 1), (('2', '1'), ('1', '1')))	2
62	((0, 1), (('2', '0'), ('0', '0')))	1
63	((0, 1), (('0', '0'), ('0', '1')))	1
64	((0, 1), (('1', '1'), ('1', '0')))	2
65	((0, 1), (('1', '0'), ('1', '1')))	2
66	((0, 1), (('2', '0'), ('0', '1')))	1
67	((0, 1), (('1', '2'), ('0', '0')))	2
68	((0, 1), (('1', '1'), ('1', '1')))	2
69	((0, 1), (('3', '0'), ('0', '0')))	2
70	((0, 1), (('3', '1'), ('0', '0')))	2
71	((0, 1), (('3', '0'), ('0', '1')))	1
72	((0, 1), (('1', '2'), ('0', '1')))	2
73	((0, 1), (('3', '1'), ('0', '1')))	1
74	((0, 1), (('3', '2'), ('0', '0')))	2
75	((0, 1), (('2', '2'), ('0', '0')))	2
76	((0, 1), (('0', '1'), ('1', '0')))	2
77	((0, 1), (('3', '2'), ('0', '1')))	1
78	((0, 1), (('0', '1'), ('1', '1')))	2
79	((0, 1), (('2', '2'), ('0', '1')))	1
80	((0, 1), (('0', '0'), ('1', '0')))	1
81	((0, 1), (('2', '1'), ('0', '0')))	2
82	((0, 1), (('0', '2'), ('0', '0')))	2
