	State	Action
0	((0, 0), (('2', '0'), ('1', '1')))	1
1	((0, 0), (('1', '1'), ('0', '0')))	1
2	((0, 0), (('0', '0'), ('0', '1')))	1
3	((0, 0), (('2', '2'), ('1', '1')))	1
4	((0, 0), (('0', '2'), ('0', '1')))	1
5	((0, 0), (('3', '2'), ('1', '0')))	aT
6	((0, 0), (('0', '0'), ('1', '1')))	1
7	((0, 0), (('2', '1'), ('1', '0')))	1
8	((0, 0), (('3', '1'), ('0', '1')))	1
9	((0, 0), (('0', '2'), ('1', '1')))	1
10	((0, 0), (('1', '2'), ('1', '0')))	1
11	((0, 0), (('3', '0'), ('0', '1')))	1
12	((0, 0), (('0', '1'), ('1', '0')))	1
13	((0, 0), (('1', '0'), ('1', '0')))	1
14	((0, 0), (('3', '0'), ('1', '1')))	aT
15	((0, 0), (('1', '1'), ('0', '1')))	1
16	((0, 0), (('3', '2'), ('0', '0')))	1
17	((0, 0), (('2', '1'), ('0', '0')))	1
18	((0, 0), (('3', '1'), ('1', '1')))	aT
19	((0, 0), (('1', '2'), ('0', '0')))	1
20	((0, 0), (('0', '1'), ('0', '0')))	1
21	((0, 0), (('2', '0'), ('1', '0')))	1
22	((0, 0), (('1', '1'), ('1', '1')))	1
23	((0, 0), (('1', '0'), ('0', '0')))	1
24	((0, 0), (('2', '2'), ('1', '0')))	1
25	((0, 0), (('3', '2'), ('0', '1')))	1
26	((0, 0), 'sink')	0
27	((0, 0), (('2', '1'), ('0', '1')))	1
28	((0, 0), (('0', '0'), ('1', '0')))	1
29	((0, 0), (('2', '0'), ('0', '0')))	1
30	((0, 0), (('2', '2'), ('0', '0')))	1
31	((0, 0), (('0', '2'), ('1', '0')))	1
32	((0, 0), (('1', '2'), ('0', '1')))	1
33	((0, 0), (('3', '2'), ('1', '1')))	aT
34	((0, 0), (('2', '1'), ('1', '1')))	1
35	((0, 0), (('0', '1'), ('0', '1')))	1
36	((0, 0), (('0', '0'), ('0', '0')))	1
37	((0, 0), (('1', '0'), ('0', '1')))	1
38	((0, 0), (('1', '2'), ('1', '1')))	1
39	((0, 0), (('3', '0'), ('1', '0')))	aT
40	((0, 0), (('0', '2'), ('0', '0')))	1
41	((0, 0), (('3', '1'), ('1', '0')))	aT
42	((0, 0), (('0', '1'), ('1', '1')))	1
43	((0, 0), (('1', '1'), ('1', '0')))	1
44	((0, 0), (('2', '0'), ('0', '1')))	1
45	((0, 0), (('1', '0'), ('1', '1')))	1
46	((0, 0), (('2', '2'), ('0', '1')))	1
47	((0, 0), (('3', '0'), ('0', '0')))	1
48	((0, 0), (('3', '1'), ('0', '0')))	1
49	((0, 1), (('2', '0'), ('1', '1')))	1
50	((0, 1), (('1', '1'), ('0', '0')))	2
51	((0, 1), (('0', '0'), ('0', '1')))	1
52	((0, 1), (('2', '2'), ('1', '1')))	1
53	((0, 1), (('0', '2'), ('0', '1')))	1
54	((0, 1), (('3', '2'), ('1', '0')))	aT
55	((0, 1), (('0', '0'), ('1', '1')))	1
56	((0, 1), (('2', '1'), ('1', '0')))	2
57	((0, 1), (('3', '1'), ('0', '1')))	1
58	((0, 1), (('0', '2'), ('1', '1')))	1
59	((0, 1), (('1', '2'), ('1', '0')))	2
60	((0, 1), (('3', '0'), ('0', '1')))	1
61	((0, 1), (('0', '1'), ('1', '0')))	2
62	((0, 1), (('1', '0'), ('1', '0')))	2
63	((0, 1), (('3', '0'), ('1', '1')))	aT
64	((0, 1), (('1', '1'), ('0', '1')))	2
65	((0, 1), (('3', '2'), ('0', '0')))	2
66	((0, 1), (('2', '1'), ('0', '0')))	2
67	((0, 1), (('3', '1'), ('1', '1')))	aT
68	((0, 1), (('1', '2'), ('0', '0')))	2
69	((0, 1), (('0', '1'), ('0', '0')))	2
70	((0, 1), (('2', '0'), ('1', '0')))	1
71	((0, 1), (('1', '1'), ('1', '1')))	2
72	((0, 1), (('1', '0'), ('0', '0')))	2
73	((0, 1), (('2', '2'), ('1', '0')))	1
74	((0, 1), (('3', '2'), ('0', '1')))	1
75	((0, 1), 'sink')	0
76	((0, 1), (('2', '1'), ('0', '1')))	2
77	((0, 1), (('0', '0'), ('1', '0')))	1
78	((0, 1), (('2', '0'), ('0', '0')))	1
79	((0, 1), (('2', '2'), ('0', '0')))	2
80	((0, 1), (('0', '2'), ('1', '0')))	1
81	((0, 1), (('1', '2'), ('0', '1')))	2
82	((0, 1), (('3', '2'), ('1', '1')))	aT
83	((0, 1), (('2', '1'), ('1', '1')))	2
84	((0, 1), (('0', '1'), ('0', '1')))	2
85	((0, 1), (('0', '0'), ('0', '0')))	1
86	((0, 1), (('1', '0'), ('0', '1')))	2
87	((0, 1), (('1', '2'), ('1', '1')))	2
88	((0, 1), (('3', '0'), ('1', '0')))	aT
89	((0, 1), (('0', '2'), ('0', '0')))	2
90	((0, 1), (('3', '1'), ('1', '0')))	aT
91	((0, 1), (('0', '1'), ('1', '1')))	2
92	((0, 1), (('1', '1'), ('1', '0')))	2
93	((0, 1), (('2', '0'), ('0', '1')))	1
94	((0, 1), (('1', '0'), ('1', '1')))	2
95	((0, 1), (('2', '2'), ('0', '1')))	1
96	((0, 1), (('3', '0'), ('0', '0')))	2
97	((0, 1), (('3', '1'), ('0', '0')))	2
98	((0, 2), (('2', '0'), ('1', '1')))	2
99	((0, 2), (('1', '1'), ('0', '0')))	2
100	((0, 2), (('0', '0'), ('0', '1')))	2
101	((0, 2), (('2', '2'), ('1', '1')))	2
102	((0, 2), (('0', '2'), ('0', '1')))	2
103	((0, 2), (('3', '2'), ('1', '0')))	aT
104	((0, 2), (('0', '0'), ('1', '1')))	2
105	((0, 2), (('2', '1'), ('1', '0')))	2
106	((0, 2), (('3', '1'), ('0', '1')))	1
107	((0, 2), (('0', '2'), ('1', '1')))	1
108	((0, 2), (('1', '2'), ('1', '0')))	2
109	((0, 2), (('3', '0'), ('0', '1')))	1
110	((0, 2), (('0', '1'), ('1', '0')))	2
111	((0, 2), (('1', '0'), ('1', '0')))	2
112	((0, 2), (('3', '0'), ('1', '1')))	aT
113	((0, 2), (('1', '1'), ('0', '1')))	2
114	((0, 2), (('3', '2'), ('0', '0')))	2
115	((0, 2), (('2', '1'), ('0', '0')))	2
116	((0, 2), (('3', '1'), ('1', '1')))	aT
117	((0, 2), (('1', '2'), ('0', '0')))	2
118	((0, 2), (('0', '1'), ('0', '0')))	2
119	((0, 2), (('2', '0'), ('1', '0')))	2
120	((0, 2), (('1', '1'), ('1', '1')))	2
121	((0, 2), (('1', '0'), ('0', '0')))	2
122	((0, 2), (('2', '2'), ('1', '0')))	2
123	((0, 2), (('3', '2'), ('0', '1')))	1
124	((0, 2), 'sink')	0
125	((0, 2), (('2', '1'), ('0', '1')))	2
126	((0, 2), (('0', '0'), ('1', '0')))	2
127	((0, 2), (('2', '0'), ('0', '0')))	2
128	((0, 2), (('2', '2'), ('0', '0')))	2
129	((0, 2), (('0', '2'), ('1', '0')))	1
130	((0, 2), (('1', '2'), ('0', '1')))	2
131	((0, 2), (('3', '2'), ('1', '1')))	aT
132	((0, 2), (('2', '1'), ('1', '1')))	2
133	((0, 2), (('0', '1'), ('0', '1')))	2
134	((0, 2), (('0', '0'), ('0', '0')))	2
135	((0, 2), (('1', '0'), ('0', '1')))	2
136	((0, 2), (('1', '2'), ('1', '1')))	2
137	((0, 2), (('3', '0'), ('1', '0')))	aT
138	((0, 2), (('0', '2'), ('0', '0')))	2
139	((0, 2), (('3', '1'), ('1', '0')))	aT
140	((0, 2), (('0', '1'), ('1', '1')))	2
141	((0, 2), (('1', '1'), ('1', '0')))	2
142	((0, 2), (('2', '0'), ('0', '1')))	2
143	((0, 2), (('1', '0'), ('1', '1')))	2
144	((0, 2), (('2', '2'), ('0', '1')))	2
145	((0, 2), (('3', '0'), ('0', '0')))	2
146	((0, 2), (('3', '1'), ('0', '0')))	2
147	((0, 3), (('2', '0'), ('1', '1')))	0
148	((0, 3), (('1', '1'), ('0', '0')))	0
149	((0, 3), (('0', '0'), ('0', '1')))	0
150	((0, 3), (('2', '2'), ('1', '1')))	aT
151	((0, 3), (('0', '2'), ('0', '1')))	aT
152	((0, 3), (('3', '2'), ('1', '0')))	aT
153	((0, 3), (('0', '0'), ('1', '1')))	0
154	((0, 3), (('2', '1'), ('1', '0')))	0
155	((0, 3), (('3', '1'), ('0', '1')))	aT
156	((0, 3), (('0', '2'), ('1', '1')))	aT
157	((0, 3), (('1', '2'), ('1', '0')))	aT
158	((0, 3), (('3', '0'), ('0', '1')))	aT
159	((0, 3), (('0', '1'), ('1', '0')))	0
160	((0, 3), (('1', '0'), ('1', '0')))	0
161	((0, 3), (('3', '0'), ('1', '1')))	aT
162	((0, 3), (('1', '1'), ('0', '1')))	0
163	((0, 3), (('3', '2'), ('0', '0')))	0
164	((0, 3), (('2', '1'), ('0', '0')))	0
165	((0, 3), (('3', '1'), ('1', '1')))	aT
166	((0, 3), (('1', '2'), ('0', '0')))	0
167	((0, 3), (('0', '1'), ('0', '0')))	0
168	((0, 3), (('2', '0'), ('1', '0')))	0
169	((0, 3), (('1', '1'), ('1', '1')))	0
170	((0, 3), (('1', '0'), ('0', '0')))	0
171	((0, 3), (('2', '2'), ('1', '0')))	aT
172	((0, 3), (('3', '2'), ('0', '1')))	aT
173	((0, 3), 'sink')	0
174	((0, 3), (('2', '1'), ('0', '1')))	0
175	((0, 3), (('0', '0'), ('1', '0')))	0
176	((0, 3), (('2', '0'), ('0', '0')))	0
177	((0, 3), (('2', '2'), ('0', '0')))	0
178	((0, 3), (('0', '2'), ('1', '0')))	aT
179	((0, 3), (('1', '2'), ('0', '1')))	aT
180	((0, 3), (('3', '2'), ('1', '1')))	aT
181	((0, 3), (('2', '1'), ('1', '1')))	0
182	((0, 3), (('0', '1'), ('0', '1')))	0
183	((0, 3), (('0', '0'), ('0', '0')))	0
184	((0, 3), (('1', '0'), ('0', '1')))	0
185	((0, 3), (('1', '2'), ('1', '1')))	aT
186	((0, 3), (('3', '0'), ('1', '0')))	aT
187	((0, 3), (('0', '2'), ('0', '0')))	0
188	((0, 3), (('3', '1'), ('1', '0')))	aT
189	((0, 3), (('0', '1'), ('1', '1')))	0
190	((0, 3), (('1', '1'), ('1', '0')))	0
191	((0, 3), (('2', '0'), ('0', '1')))	0
192	((0, 3), (('1', '0'), ('1', '1')))	0
193	((0, 3), (('2', '2'), ('0', '1')))	aT
194	((0, 3), (('3', '0'), ('0', '0')))	0
195	((0, 3), (('3', '1'), ('0', '0')))	0
196	((0, 4), (('2', '0'), ('1', '1')))	0
197	((0, 4), (('1', '1'), ('0', '0')))	0
198	((0, 4), (('0', '0'), ('0', '1')))	0
199	((0, 4), (('2', '2'), ('1', '1')))	aT
200	((0, 4), (('0', '2'), ('0', '1')))	aT
201	((0, 4), (('3', '2'), ('1', '0')))	aT
202	((0, 4), (('0', '0'), ('1', '1')))	0
203	((0, 4), (('2', '1'), ('1', '0')))	0
204	((0, 4), (('3', '1'), ('0', '1')))	aT
205	((0, 4), (('0', '2'), ('1', '1')))	aT
206	((0, 4), (('1', '2'), ('1', '0')))	aT
207	((0, 4), (('3', '0'), ('0', '1')))	aT
