	State	Action
0	((0, 0), ('2', '2'))	1
1	((0, 0), ('3', '1'))	aT
2	((0, 0), ('2', '1'))	1
3	((0, 0), ('0', '0'))	1
4	((0, 0), ('1', '2'))	1
5	((0, 0), ('1', '1'))	1
6	((0, 0), ('3', '0'))	aT
7	((0, 0), ('0', '2'))	1
8	((0, 0), ('2', '0'))	1
9	((0, 0), ('0', '1'))	1
10	((0, 0), 'sink')	0
11	((0, 0), ('3', '2'))	aT
12	((0, 0), ('1', '0'))	1
13	((0, 1), ('2', '2'))	1
14	((0, 1), ('3', '1'))	aT
15	((0, 1), ('2', '1'))	2
16	((0, 1), ('0', '0'))	1
17	((0, 1), ('1', '2'))	2
18	((0, 1), ('1', '1'))	2
19	((0, 1), ('3', '0'))	aT
20	((0, 1), ('0', '2'))	1
21	((0, 1), ('2', '0'))	1
22	((0, 1), ('0', '1'))	2
23	((0, 1), 'sink')	0
24	((0, 1), ('3', '2'))	aT
25	((0, 1), ('1', '0'))	2
26	((0, 2), ('2', '2'))	2
27	((0, 2), ('3', '1'))	aT
28	((0, 2), ('2', '1'))	2
29	((0, 2), ('0', '0'))	2
30	((0, 2), ('1', '2'))	2
31	((0, 2), ('1', '1'))	2
32	((0, 2), ('3', '0'))	aT
33	((0, 2), ('0', '2'))	1
34	((0, 2), ('2', '0'))	2
35	((0, 2), ('0', '1'))	2
36	((0, 2), 'sink')	0
37	((0, 2), ('3', '2'))	aT
38	((0, 2), ('1', '0'))	2
39	((0, 3), ('2', '2'))	aT
40	((0, 3), ('3', '1'))	aT
41	((0, 3), ('2', '1'))	0
42	((0, 3), ('0', '0'))	0
43	((0, 3), ('1', '2'))	aT
44	((0, 3), ('1', '1'))	0
45	((0, 3), ('3', '0'))	aT
46	((0, 3), ('0', '2'))	aT
47	((0, 3), ('2', '0'))	0
48	((0, 3), ('0', '1'))	0
49	((0, 3), 'sink')	0
50	((0, 3), ('3', '2'))	aT
51	((0, 3), ('1', '0'))	0
52	((0, 4), ('2', '2'))	aT
53	((0, 4), ('3', '1'))	aT
54	((0, 4), ('2', '1'))	0
55	((0, 4), ('0', '0'))	0
56	((0, 4), ('1', '2'))	aT
57	((0, 4), ('1', '1'))	0
58	((0, 4), ('3', '0'))	aT
59	((0, 4), ('0', '2'))	aT
60	((0, 4), ('2', '0'))	0
61	((0, 4), ('0', '1'))	0
62	((0, 4), 'sink')	0
63	((0, 4), ('3', '2'))	aT
64	((0, 4), ('1', '0'))	0
65	((0, 5), ('2', '2'))	0
66	((0, 5), ('3', '1'))	aT
67	((0, 5), ('2', '1'))	0
68	((0, 5), ('0', '0'))	0
69	((0, 5), ('1', '2'))	0
70	((0, 5), ('1', '1'))	0
71	((0, 5), ('3', '0'))	aT
72	((0, 5), ('0', '2'))	0
73	((0, 5), ('2', '0'))	0
74	((0, 5), ('0', '1'))	0
75	((0, 5), 'sink')	0
76	((0, 5), ('3', '2'))	aT
77	((0, 5), ('1', '0'))	0
78	((0, 6), ('2', '2'))	1
79	((0, 6), ('3', '1'))	aT
80	((0, 6), ('2', '1'))	1
81	((0, 6), ('0', '0'))	1
82	((0, 6), ('1', '2'))	1
83	((0, 6), ('1', '1'))	1
84	((0, 6), ('3', '0'))	aT
85	((0, 6), ('0', '2'))	1
86	((0, 6), ('2', '0'))	1
87	((0, 6), ('0', '1'))	1
88	((0, 6), 'sink')	0
89	((0, 6), ('3', '2'))	aT
90	((0, 6), ('1', '0'))	1
91	((0, 7), ('2', '2'))	1
92	((0, 7), ('3', '1'))	aT
93	((0, 7), ('2', '1'))	2
94	((0, 7), ('0', '0'))	1
95	((0, 7), ('1', '2'))	1
96	((0, 7), ('1', '1'))	1
97	((0, 7), ('3', '0'))	aT
98	((0, 7), ('0', '2'))	1
99	((0, 7), ('2', '0'))	2
100	((0, 7), ('0', '1'))	1
101	((0, 7), 'sink')	0
102	((0, 7), ('3', '2'))	aT
103	((0, 7), ('1', '0'))	1
104	((1, 0), ('2', '2'))	1
105	((1, 0), ('3', '1'))	aT
106	((1, 0), ('2', '1'))	2
107	((1, 0), ('0', '0'))	1
108	((1, 0), ('1', '2'))	2
109	((1, 0), ('1', '1'))	2
110	((1, 0), ('3', '0'))	aT
111	((1, 0), ('0', '2'))	0
112	((1, 0), ('2', '0'))	1
113	((1, 0), ('0', '1'))	2
114	((1, 0), 'sink')	0
115	((1, 0), ('3', '2'))	aT
116	((1, 0), ('1', '0'))	2
117	((1, 1), ('2', '2'))	1
118	((1, 1), ('3', '1'))	aT
119	((1, 1), ('2', '1'))	2
120	((1, 1), ('0', '0'))	1
121	((1, 1), ('1', '2'))	2
122	((1, 1), ('1', '1'))	2
123	((1, 1), ('3', '0'))	aT
124	((1, 1), ('0', '2'))	1
125	((1, 1), ('2', '0'))	1
126	((1, 1), ('0', '1'))	2
127	((1, 1), 'sink')	0
128	((1, 1), ('3', '2'))	aT
