	State	Action
0	((0, 0), 'sink')	0
1	((0, 0), '1')	aT
2	((0, 0), '0')	1
3	((0, 1), 'sink')	0
4	((0, 1), '1')	aT
5	((0, 1), '0')	2
6	((0, 2), 'sink')	0
7	((0, 2), '1')	aT
8	((0, 2), '0')	2
9	((0, 3), 'sink')	0
10	((0, 3), '1')	aT
11	((0, 3), '0')	0
12	((0, 4), 'sink')	0
13	((0, 4), '1')	aT
14	((0, 4), '0')	0
15	((0, 5), 'sink')	0
16	((0, 5), '1')	aT
17	((0, 5), '0')	0
18	((0, 6), 'sink')	0
19	((0, 6), '1')	aT
20	((0, 6), '0')	1
21	((0, 7), 'sink')	0
22	((0, 7), '1')	aT
23	((0, 7), '0')	1
24	((1, 0), 'sink')	0
25	((1, 0), '1')	aT
26	((1, 0), '0')	2
27	((1, 1), 'sink')	0
28	((1, 1), '1')	aT
29	((1, 1), '0')	2
30	((1, 2), 'sink')	0
31	((1, 2), '1')	aT
32	((1, 2), '0')	2
33	((1, 3), 'sink')	0
34	((1, 3), '1')	aT
35	((1, 3), '0')	0
36	((1, 4), 'sink')	0
37	((1, 4), '1')	aT
38	((1, 4), '0')	0
39	((1, 5), 'sink')	0
40	((1, 5), '1')	aT
41	((1, 5), '0')	0
42	((1, 6), 'sink')	0
43	((1, 6), '1')	aT
44	((1, 6), '0')	0
45	((1, 7), 'sink')	0
46	((1, 7), '1')	aT
47	((1, 7), '0')	2
48	((2, 0), 'sink')	0
49	((2, 0), '1')	aT
50	((2, 0), '0')	3
51	((2, 1), 'sink')	0
52	((2, 1), '1')	aT
53	((2, 1), '0')	2
54	((2, 2), 'sink')	0
55	((2, 2), '1')	aT
56	((2, 2), '0')	3
57	((2, 3), 'sink')	0
58	((2, 3), '1')	aT
59	((2, 3), '0')	2
60	((2, 4), 'sink')	0
61	((2, 4), '1')	aT
62	((2, 4), '0')	0
63	((2, 5), 'sink')	0
64	((2, 5), '1')	aT
65	((2, 5), '0')	0
66	((2, 6), 'sink')	0
67	((2, 6), '1')	aT
68	((2, 6), '0')	3
69	((2, 7), 'sink')	0
70	((2, 7), '1')	aT
71	((2, 7), '0')	3
72	((3, 0), 'sink')	0
73	((3, 0), '1')	aT
74	((3, 0), '0')	3
75	((3, 1), 'sink')	0
76	((3, 1), '1')	aT
77	((3, 1), '0')	2
78	((3, 2), 'sink')	0
79	((3, 2), '1')	aT
80	((3, 2), '0')	0
81	((3, 3), 'sink')	0
82	((3, 3), '1')	aT
83	((3, 3), '0')	0
84	((3, 4), 'sink')	0
85	((3, 4), '1')	aT
86	((3, 4), '0')	0
