	State	Action
0	((0, 0), 'sink')	0
1	((0, 0), ('0', '1'))	1
2	((0, 0), ('0', '0'))	1
3	((0, 0), ('1', '1'))	aT
4	((0, 0), ('1', '0'))	aT
5	((0, 1), 'sink')	0
6	((0, 1), ('0', '1'))	1
7	((0, 1), ('0', '0'))	2
8	((0, 1), ('1', '1'))	aT
9	((0, 1), ('1', '0'))	aT
10	((0, 2), 'sink')	0
11	((0, 2), ('0', '1'))	2
12	((0, 2), ('0', '0'))	2
13	((0, 2), ('1', '1'))	aT
14	((0, 2), ('1', '0'))	aT
15	((0, 3), 'sink')	0
16	((0, 3), ('0', '1'))	aT
17	((0, 3), ('0', '0'))	0
18	((0, 3), ('1', '1'))	aT
19	((0, 3), ('1', '0'))	aT
20	((0, 4), 'sink')	0
21	((0, 4), ('0', '1'))	aT
22	((0, 4), ('0', '0'))	0
23	((0, 4), ('1', '1'))	aT
24	((0, 4), ('1', '0'))	aT
25	((0, 5), 'sink')	0
26	((0, 5), ('0', '1'))	0
27	((0, 5), ('0', '0'))	0
28	((0, 5), ('1', '1'))	aT
29	((0, 5), ('1', '0'))	aT
30	((0, 6), 'sink')	0
31	((0, 6), ('0', '1'))	1
32	((0, 6), ('0', '0'))	1
33	((0, 6), ('1', '1'))	aT
34	((0, 6), ('1', '0'))	aT
35	((0, 7), 'sink')	0
36	((0, 7), ('0', '1'))	1
37	((0, 7), ('0', '0'))	1
38	((0, 7), ('1', '1'))	aT
39	((0, 7), ('1', '0'))	aT
40	((1, 0), 'sink')	0
41	((1, 0), ('0', '1'))	1
42	((1, 0), ('0', '0'))	2
43	((1, 0), ('1', '1'))	aT
44	((1, 0), ('1', '0'))	aT
45	((1, 1), 'sink')	0
46	((1, 1), ('0', '1'))	1
47	((1, 1), ('0', '0'))	2
48	((1, 1), ('1', '1'))	aT
49	((1, 1), ('1', '0'))	aT
50	((1, 2), 'sink')	0
51	((1, 2), ('0', '1'))	2
52	((1, 2), ('0', '0'))	2
53	((1, 2), ('1', '1'))	aT
54	((1, 2), ('1', '0'))	aT
55	((1, 3), 'sink')	0
56	((1, 3), ('0', '1'))	aT
57	((1, 3), ('0', '0'))	0
58	((1, 3), ('1', '1'))	aT
59	((1, 3), ('1', '0'))	aT
60	((1, 4), 'sink')	0
61	((1, 4), ('0', '1'))	aT
62	((1, 4), ('0', '0'))	0
63	((1, 4), ('1', '1'))	aT
64	((1, 4), ('1', '0'))	aT
65	((1, 5), 'sink')	0
66	((1, 5), ('0', '1'))	1
67	((1, 5), ('0', '0'))	0
68	((1, 5), ('1', '1'))	aT
69	((1, 5), ('1', '0'))	aT
70	((1, 6), 'sink')	0
71	((1, 6), ('0', '1'))	1
72	((1, 6), ('0', '0'))	1
73	((1, 6), ('1', '1'))	aT
74	((1, 6), ('1', '0'))	aT
75	((1, 7), 'sink')	0
76	((1, 7), ('0', '1'))	2
77	((1, 7), ('0', '0'))	2
78	((1, 7), ('1', '1'))	aT
79	((1, 7), ('1', '0'))	aT
80	((2, 0), 'sink')	0
81	((2, 0), ('0', '1'))	1
82	((2, 0), ('0', '0'))	3
83	((2, 0), ('1', '1'))	aT
84	((2, 0), ('1', '0'))	aT
85	((2, 1), 'sink')	0
86	((2, 1), ('0', '1'))	1
87	((2, 1), ('0', '0'))	2
88	((2, 1), ('1', '1'))	aT
89	((2, 1), ('1', '0'))	aT
90	((2, 2), 'sink')	0
91	((2, 2), ('0', '1'))	0
92	((2, 2), ('0', '0'))	3
93	((2, 2), ('1', '1'))	aT
94	((2, 2), ('1', '0'))	aT
95	((2, 3), 'sink')	0
96	((2, 3), ('0', '1'))	0
97	((2, 3), ('0', '0'))	0
98	((2, 3), ('1', '1'))	aT
99	((2, 3), ('1', '0'))	aT
100	((2, 4), 'sink')	0
101	((2, 4), ('0', '1'))	1
102	((2, 4), ('0', '0'))	1
103	((2, 4), ('1', '1'))	aT
104	((2, 4), ('1', '0'))	aT
105	((2, 5), 'sink')	0
106	((2, 5), ('0', '1'))	1
107	((2, 5), ('0', '0'))	1
108	((2, 5), ('1', '1'))	aT
109	((2, 5), ('1', '0'))	aT
110	((2, 6), 'sink')	0
111	((2, 6), ('0', '1'))	2
112	((2, 6), ('0', '0'))	3
113	((2, 6), ('1', '1'))	aT
114	((2, 6), ('1', '0'))	aT
115	((2, 7), 'sink')	0
116	((2, 7), ('0', '1'))	3
117	((2, 7), ('0', '0'))	3
118	((2, 7), ('1', '1'))	aT
119	((2, 7), ('1', '0'))	aT
120	((3, 0), 'sink')	0
121	((3, 0), ('0', '1'))	1
122	((3, 0), ('0', '0'))	3
123	((3, 0), ('1', '1'))	aT
124	((3, 0), ('1', '0'))	aT
125	((3, 1), 'sink')	0
126	((3, 1), ('0', '1'))	2
127	((3, 1), ('0', '0'))	2
128	((3, 1), ('1', '1'))	aT
