	State	Action
0	((0, 0), ('0', '2'))	aT
1	((0, 0), ('3', '1'))	aT
2	((0, 0), ('2', '0'))	1
3	((0, 0), ('3', '2'))	aT
4	((0, 0), ('0', '1'))	2
5	((0, 0), ('1', '0'))	2
6	((0, 0), 'sink')	0
7	((0, 0), ('2', '1'))	2
8	((0, 0), ('2', '2'))	aT
9	((0, 0), ('0', '0'))	1
10	((0, 0), ('1', '2'))	2
11	((0, 0), ('3', '0'))	aT
12	((0, 0), ('1', '1'))	2
13	((0, 1), ('0', '2'))	aT
14	((0, 1), ('3', '1'))	aT
15	((0, 1), ('2', '0'))	2
16	((0, 1), ('3', '2'))	aT
17	((0, 1), ('0', '1'))	2
18	((0, 1), ('1', '0'))	2
19	((0, 1), 'sink')	0
20	((0, 1), ('2', '1'))	2
21	((0, 1), ('2', '2'))	aT
22	((0, 1), ('0', '0'))	2
23	((0, 1), ('1', '2'))	2
24	((0, 1), ('3', '0'))	aT
25	((0, 1), ('1', '1'))	2
26	((0, 2), ('0', '2'))	aT
27	((0, 2), ('3', '1'))	aT
28	((0, 2), ('2', '0'))	2
29	((0, 2), ('3', '2'))	aT
30	((0, 2), ('0', '1'))	2
31	((0, 2), ('1', '0'))	2
32	((0, 2), 'sink')	0
33	((0, 2), ('2', '1'))	2
34	((0, 2), ('2', '2'))	aT
35	((0, 2), ('0', '0'))	2
36	((0, 2), ('1', '2'))	2
37	((0, 2), ('3', '0'))	aT
38	((0, 2), ('1', '1'))	2
39	((0, 3), ('0', '2'))	aT
40	((0, 3), ('3', '1'))	aT
41	((0, 3), ('2', '0'))	0
42	((0, 3), ('3', '2'))	aT
43	((0, 3), ('0', '1'))	0
44	((0, 3), ('1', '0'))	0
45	((0, 3), 'sink')	0
46	((0, 3), ('2', '1'))	0
47	((0, 3), ('2', '2'))	aT
48	((0, 3), ('0', '0'))	0
49	((0, 3), ('1', '2'))	aT
50	((0, 3), ('3', '0'))	aT
51	((0, 3), ('1', '1'))	0
52	((0, 4), ('0', '2'))	aT
53	((0, 4), ('3', '1'))	aT
54	((0, 4), ('2', '0'))	0
55	((0, 4), ('3', '2'))	aT
56	((0, 4), ('0', '1'))	0
57	((0, 4), ('1', '0'))	0
58	((0, 4), 'sink')	0
59	((0, 4), ('2', '1'))	0
60	((0, 4), ('2', '2'))	aT
61	((0, 4), ('0', '0'))	0
62	((0, 4), ('1', '2'))	aT
63	((0, 4), ('3', '0'))	aT
64	((0, 4), ('1', '1'))	0
65	((0, 5), ('0', '2'))	aT
66	((0, 5), ('3', '1'))	aT
67	((0, 5), ('2', '0'))	0
68	((0, 5), ('3', '2'))	aT
69	((0, 5), ('0', '1'))	0
70	((0, 5), ('1', '0'))	0
71	((0, 5), 'sink')	0
72	((0, 5), ('2', '1'))	0
73	((0, 5), ('2', '2'))	aT
74	((0, 5), ('0', '0'))	0
75	((0, 5), ('1', '2'))	aT
76	((0, 5), ('3', '0'))	aT
77	((0, 5), ('1', '1'))	0
78	((0, 6), ('0', '2'))	aT
79	((0, 6), ('3', '1'))	aT
80	((0, 6), ('2', '0'))	2
81	((0, 6), ('3', '2'))	aT
82	((0, 6), ('0', '1'))	1
83	((0, 6), ('1', '0'))	2
84	((0, 6), 'sink')	0
85	((0, 6), ('2', '1'))	2
86	((0, 6), ('2', '2'))	aT
87	((0, 6), ('0', '0'))	1
88	((0, 6), ('1', '2'))	aT
89	((0, 6), ('3', '0'))	aT
90	((0, 6), ('1', '1'))	2
91	((0, 7), ('0', '2'))	aT
92	((0, 7), ('3', '1'))	aT
93	((0, 7), ('2', '0'))	1
94	((0, 7), ('3', '2'))	aT
95	((0, 7), ('0', '1'))	1
96	((0, 7), ('1', '0'))	1
97	((0, 7), 'sink')	0
98	((0, 7), ('2', '1'))	1
99	((0, 7), ('2', '2'))	aT
100	((0, 7), ('0', '0'))	1
101	((0, 7), ('1', '2'))	aT
102	((0, 7), ('3', '0'))	aT
103	((0, 7), ('1', '1'))	1
104	((1, 0), ('0', '2'))	aT
105	((1, 0), ('3', '1'))	aT
106	((1, 0), ('2', '0'))	1
107	((1, 0), ('3', '2'))	aT
108	((1, 0), ('0', '1'))	2
109	((1, 0), ('1', '0'))	2
110	((1, 0), 'sink')	0
111	((1, 0), ('2', '1'))	2
112	((1, 0), ('2', '2'))	aT
113	((1, 0), ('0', '0'))	1
114	((1, 0), ('1', '2'))	2
115	((1, 0), ('3', '0'))	aT
116	((1, 0), ('1', '1'))	2
117	((1, 1), ('0', '2'))	aT
118	((1, 1), ('3', '1'))	aT
119	((1, 1), ('2', '0'))	2
120	((1, 1), ('3', '2'))	aT
121	((1, 1), ('0', '1'))	2
122	((1, 1), ('1', '0'))	2
123	((1, 1), 'sink')	0
124	((1, 1), ('2', '1'))	2
125	((1, 1), ('2', '2'))	aT
126	((1, 1), ('0', '0'))	1
127	((1, 1), ('1', '2'))	2
128	((1, 1), ('3', '0'))	aT
129	((1, 1), ('1', '1'))	2
