	State	Action
0	((0, 0), '2')	aT
1	((0, 0), 'sink')	0
2	((0, 0), '0')	1
3	((0, 0), '1')	1
4	((0, 1), '2')	aT
5	((0, 1), 'sink')	0
6	((0, 1), '0')	1
7	((0, 1), '1')	2
8	((0, 2), '2')	aT
9	((0, 2), 'sink')	0
10	((0, 2), '0')	2
11	((0, 2), '1')	2
12	((0, 3), '2')	aT
13	((0, 3), 'sink')	0
14	((0, 3), '0')	0
15	((0, 3), '1')	0
16	((0, 4), '2')	aT
17	((0, 4), 'sink')	0
18	((0, 4), '0')	0
19	((0, 4), '1')	0
20	((0, 5), '2')	aT
21	((0, 5), 'sink')	0
22	((0, 5), '0')	0
23	((0, 5), '1')	0
24	((0, 6), '2')	aT
25	((0, 6), 'sink')	0
26	((0, 6), '0')	1
27	((0, 6), '1')	1
28	((0, 7), '2')	aT
29	((0, 7), 'sink')	0
30	((0, 7), '0')	1
31	((0, 7), '1')	1
32	((1, 0), '2')	aT
33	((1, 0), 'sink')	0
34	((1, 0), '0')	1
35	((1, 0), '1')	2
36	((1, 1), '2')	aT
37	((1, 1), 'sink')	0
38	((1, 1), '0')	1
39	((1, 1), '1')	2
40	((1, 2), '2')	aT
41	((1, 2), 'sink')	0
42	((1, 2), '0')	2
43	((1, 2), '1')	2
44	((1, 3), '2')	aT
45	((1, 3), 'sink')	0
46	((1, 3), '0')	0
47	((1, 3), '1')	0
48	((1, 4), '2')	aT
49	((1, 4), 'sink')	0
50	((1, 4), '0')	0
51	((1, 4), '1')	0
52	((1, 5), '2')	aT
53	((1, 5), 'sink')	0
54	((1, 5), '0')	0
55	((1, 5), '1')	1
56	((1, 6), '2')	aT
57	((1, 6), 'sink')	0
58	((1, 6), '0')	0
59	((1, 6), '1')	1
60	((1, 7), '2')	aT
61	((1, 7), 'sink')	0
62	((1, 7), '0')	2
63	((1, 7), '1')	2
64	((2, 0), '2')	aT
65	((2, 0), 'sink')	0
66	((2, 0), '0')	1
67	((2, 0), '1')	3
68	((2, 1), '2')	aT
69	((2, 1), 'sink')	0
70	((2, 1), '0')	2
71	((2, 1), '1')	2
72	((2, 2), '2')	aT
73	((2, 2), 'sink')	0
74	((2, 2), '0')	3
75	((2, 2), '1')	3
76	((2, 3), '2')	aT
77	((2, 3), 'sink')	0
78	((2, 3), '0')	0
79	((2, 3), '1')	2
80	((2, 4), '2')	aT
81	((2, 4), 'sink')	0
82	((2, 4), '0')	1
83	((2, 4), '1')	2
84	((2, 5), '2')	aT
85	((2, 5), 'sink')	0
