	State	Action
0	((0, 0), ('0', '5'))	3
1	((0, 0), ('4', '0'))	0
2	((0, 0), ('2', '0'))	3
3	((0, 0), ('3', '4'))	1
4	((0, 0), ('2', '4'))	3
5	((0, 0), ('3', '0'))	1
6	((0, 0), ('4', '5'))	0
7	((0, 0), ('0', '3'))	3
8	((0, 0), ('1', '1'))	1
9	((0, 0), ('3', '5'))	aT
10	((0, 0), ('2', '5'))	3
11	((0, 0), ('4', '3'))	0
12	((0, 0), ('1', '2'))	1
13	((0, 0), ('2', '3'))	3
14	((0, 0), ('3', '3'))	1
15	((0, 0), ('0', '1'))	3
16	((0, 0), ('1', '0'))	1
17	((0, 0), ('1', '4'))	1
18	((0, 0), ('0', '2'))	3
19	((0, 0), ('4', '1'))	0
20	((0, 0), ('4', '2'))	0
21	((0, 0), ('1', '5'))	1
22	((0, 0), ('3', '1'))	1
23	((0, 0), ('2', '1'))	3
24	((0, 0), ('2', '2'))	3
25	((0, 0), ('3', '2'))	1
26	((0, 0), ('1', '3'))	1
27	((0, 0), ('0', '4'))	3
28	((0, 0), ('0', '0'))	3
29	((0, 0), 'sink')	0
30	((0, 0), ('4', '4'))	0
31	((0, 1), ('0', '5'))	1
32	((0, 1), ('4', '0'))	0
33	((0, 1), ('2', '0'))	1
34	((0, 1), ('3', '4'))	1
35	((0, 1), ('2', '4'))	1
36	((0, 1), ('3', '0'))	1
37	((0, 1), ('4', '5'))	0
38	((0, 1), ('0', '3'))	1
39	((0, 1), ('1', '1'))	1
40	((0, 1), ('3', '5'))	aT
41	((0, 1), ('2', '5'))	1
42	((0, 1), ('4', '3'))	0
43	((0, 1), ('1', '2'))	2
44	((0, 1), ('2', '3'))	1
45	((0, 1), ('3', '3'))	2
46	((0, 1), ('0', '1'))	1
47	((0, 1), ('1', '0'))	1
48	((0, 1), ('1', '4'))	2
49	((0, 1), ('0', '2'))	1
50	((0, 1), ('4', '1'))	0
51	((0, 1), ('4', '2'))	0
52	((0, 1), ('1', '5'))	2
53	((0, 1), ('3', '1'))	1
54	((0, 1), ('2', '1'))	1
55	((0, 1), ('2', '2'))	1
56	((0, 1), ('3', '2'))	2
57	((0, 1), ('1', '3'))	2
58	((0, 1), ('0', '4'))	1
59	((0, 1), ('0', '0'))	1
60	((0, 1), 'sink')	0
61	((0, 1), ('4', '4'))	0
62	((0, 2), ('0', '5'))	2
63	((0, 2), ('4', '0'))	0
64	((0, 2), ('2', '0'))	2
65	((0, 2), ('3', '4'))	2
66	((0, 2), ('2', '4'))	2
67	((0, 2), ('3', '0'))	2
68	((0, 2), ('4', '5'))	0
69	((0, 2), ('0', '3'))	2
70	((0, 2), ('1', '1'))	2
71	((0, 2), ('3', '5'))	aT
72	((0, 2), ('2', '5'))	2
73	((0, 2), ('4', '3'))	0
74	((0, 2), ('1', '2'))	2
75	((0, 2), ('2', '3'))	2
76	((0, 2), ('3', '3'))	2
77	((0, 2), ('0', '1'))	2
78	((0, 2), ('1', '0'))	2
79	((0, 2), ('1', '4'))	2
80	((0, 2), ('0', '2'))	2
81	((0, 2), ('4', '1'))	0
82	((0, 2), ('4', '2'))	0
83	((0, 2), ('1', '5'))	2
84	((0, 2), ('3', '1'))	2
85	((0, 2), ('2', '1'))	2
86	((0, 2), ('2', '2'))	2
87	((0, 2), ('3', '2'))	2
88	((0, 2), ('1', '3'))	2
89	((0, 2), ('0', '4'))	2
90	((0, 2), ('0', '0'))	2
91	((0, 2), 'sink')	0
92	((0, 2), ('4', '4'))	0
93	((0, 3), ('0', '5'))	0
94	((0, 3), ('4', '0'))	0
95	((0, 3), ('2', '0'))	0
96	((0, 3), ('3', '4'))	0
97	((0, 3), ('2', '4'))	0
98	((0, 3), ('3', '0'))	0
99	((0, 3), ('4', '5'))	0
100	((0, 3), ('0', '3'))	0
101	((0, 3), ('1', '1'))	0
102	((0, 3), ('3', '5'))	aT
103	((0, 3), ('2', '5'))	0
104	((0, 3), ('4', '3'))	0
105	((0, 3), ('1', '2'))	0
106	((0, 3), ('2', '3'))	0
107	((0, 3), ('3', '3'))	0
108	((0, 3), ('0', '1'))	0
109	((0, 3), ('1', '0'))	0
110	((0, 3), ('1', '4'))	0
111	((0, 3), ('0', '2'))	0
112	((0, 3), ('4', '1'))	0
113	((0, 3), ('4', '2'))	0
114	((0, 3), ('1', '5'))	0
115	((0, 3), ('3', '1'))	0
116	((0, 3), ('2', '1'))	0
117	((0, 3), ('2', '2'))	0
118	((0, 3), ('3', '2'))	0
119	((0, 3), ('1', '3'))	0
120	((0, 3), ('0', '4'))	0
121	((0, 3), ('0', '0'))	0
122	((0, 3), 'sink')	0
123	((0, 3), ('4', '4'))	0
124	((0, 4), ('0', '5'))	0
125	((0, 4), ('4', '0'))	0
126	((0, 4), ('2', '0'))	0
127	((0, 4), ('3', '4'))	0
128	((0, 4), ('2', '4'))	0
129	((0, 4), ('3', '0'))	0
130	((0, 4), ('4', '5'))	0
131	((0, 4), ('0', '3'))	0
132	((0, 4), ('1', '1'))	0
133	((0, 4), ('3', '5'))	aT
134	((0, 4), ('2', '5'))	0
135	((0, 4), ('4', '3'))	0
136	((0, 4), ('1', '2'))	0
137	((0, 4), ('2', '3'))	0
138	((0, 4), ('3', '3'))	0
139	((0, 4), ('0', '1'))	0
140	((0, 4), ('1', '0'))	0
141	((0, 4), ('1', '4'))	0
142	((0, 4), ('0', '2'))	0
143	((0, 4), ('4', '1'))	0
144	((0, 4), ('4', '2'))	0
145	((0, 4), ('1', '5'))	0
146	((0, 4), ('3', '1'))	0
147	((0, 4), ('2', '1'))	0
148	((0, 4), ('2', '2'))	0
149	((0, 4), ('3', '2'))	0
150	((0, 4), ('1', '3'))	0
151	((0, 4), ('0', '4'))	0
152	((0, 4), ('0', '0'))	0
153	((0, 4), 'sink')	0
154	((0, 4), ('4', '4'))	0
155	((0, 5), ('0', '5'))	0
156	((0, 5), ('4', '0'))	0
157	((0, 5), ('2', '0'))	0
158	((0, 5), ('3', '4'))	0
159	((0, 5), ('2', '4'))	0
160	((0, 5), ('3', '0'))	0
161	((0, 5), ('4', '5'))	0
162	((0, 5), ('0', '3'))	0
163	((0, 5), ('1', '1'))	0
164	((0, 5), ('3', '5'))	aT
165	((0, 5), ('2', '5'))	0
166	((0, 5), ('4', '3'))	0
167	((0, 5), ('1', '2'))	0
168	((0, 5), ('2', '3'))	0
169	((0, 5), ('3', '3'))	0
170	((0, 5), ('0', '1'))	0
171	((0, 5), ('1', '0'))	0
172	((0, 5), ('1', '4'))	0
173	((0, 5), ('0', '2'))	0
174	((0, 5), ('4', '1'))	0
175	((0, 5), ('4', '2'))	0
176	((0, 5), ('1', '5'))	0
177	((0, 5), ('3', '1'))	0
178	((0, 5), ('2', '1'))	0
179	((0, 5), ('2', '2'))	0
180	((0, 5), ('3', '2'))	0
181	((0, 5), ('1', '3'))	0
182	((0, 5), ('0', '4'))	0
183	((0, 5), ('0', '0'))	0
184	((0, 5), 'sink')	0
185	((0, 5), ('4', '4'))	0
186	((0, 6), ('0', '5'))	1
187	((0, 6), ('4', '0'))	0
188	((0, 6), ('2', '0'))	1
189	((0, 6), ('3', '4'))	1
190	((0, 6), ('2', '4'))	1
191	((0, 6), ('3', '0'))	1
192	((0, 6), ('4', '5'))	0
193	((0, 6), ('0', '3'))	1
194	((0, 6), ('1', '1'))	1
195	((0, 6), ('3', '5'))	aT
196	((0, 6), ('2', '5'))	1
197	((0, 6), ('4', '3'))	0
198	((0, 6), ('1', '2'))	1
199	((0, 6), ('2', '3'))	1
200	((0, 6), ('3', '3'))	1
201	((0, 6), ('0', '1'))	1
202	((0, 6), ('1', '0'))	1
203	((0, 6), ('1', '4'))	1
204	((0, 6), ('0', '2'))	1
205	((0, 6), ('4', '1'))	0
206	((0, 6), ('4', '2'))	0
207	((0, 6), ('1', '5'))	1
208	((0, 6), ('3', '1'))	1
209	((0, 6), ('2', '1'))	1
210	((0, 6), ('2', '2'))	1
211	((0, 6), ('3', '2'))	1
212	((0, 6), ('1', '3'))	1
213	((0, 6), ('0', '4'))	1
214	((0, 6), ('0', '0'))	1
215	((0, 6), 'sink')	0
216	((0, 6), ('4', '4'))	0
217	((0, 7), ('0', '5'))	1
218	((0, 7), ('4', '0'))	0
219	((0, 7), ('2', '0'))	1
220	((0, 7), ('3', '4'))	1
221	((0, 7), ('2', '4'))	2
222	((0, 7), ('3', '0'))	2
223	((0, 7), ('4', '5'))	0
224	((0, 7), ('0', '3'))	1
225	((0, 7), ('1', '1'))	1
226	((0, 7), ('3', '5'))	aT
227	((0, 7), ('2', '5'))	1
228	((0, 7), ('4', '3'))	0
229	((0, 7), ('1', '2'))	2
230	((0, 7), ('2', '3'))	2
231	((0, 7), ('3', '3'))	1
232	((0, 7), ('0', '1'))	1
